Designator,Mid X,Mid Y,Layer,Rotation
U1,15,12,Top,0
U2,25,12,Top,0
U3,30,38,Top,0
U4,42,38,Top,0
U5,20,46,Top,0
Q1,10,46,Top,0
F1,8,8,Top,0
D1,12,8,Top,0
D2,52,38,Top,0
D3,54,38,Top,0
D4,22,38,Top,90
D5,24,38,Top,90
D6,8,44,Top,0
D7,5,8,Top,180
D8,55,10,Top,0
D9,55,12,Top,0
D10,55,14,Top,0
D11,55,16,Top,0
C1,35,10,Top,0
C2,40,10,Top,0
C3,18,10,Top,0
C4,22,10,Top,0
C5,28,10,Top,0
C6,30,10,Top,0
C7,32,38,Top,0
C8,44,38,Top,0
R1,48,36,Top,90
R2,50,36,Top,90
R3,48,38,Top,90
R4,50,38,Top,90
R5,12,44,Top,0
R6,16,48,Top,0
R7,36,46,Top,0
R8,40,46,Top,0
R9,44,46,Top,0
R10,58,10,Top,90
R11,58,12,Top,90
R12,58,14,Top,90
R13,58,16,Top,90
